PARCEL_NO,ParcelNo
12 12991.,12012991.
12 12168.,12012168.
13 6305.,13006305.
12 12693.,12012693.
8  9614.,080 9614.
12 5190.,12005190.
12 12548.,12012548.
8  4725.,080 4725.
12 10645.,12010645.
12 4677.,12004677.
9  12805.,09 12805.
9  12890.,09 12890.
9  12908.,09 12908.
22 102158.,22102158.
9  12939.,09 12939.
13 22417.,13022417.
13 21503.,13021503.
13 18353-4,13018353-4
13 18383.,13018383.
13 18386.,13018386.
13 18387.,13018387.
13 18597.,13018597.
13 22178-9,13022178-9
4  828.,0400 828.
2  303.004L,0200 303.004L
22 56286.,22056286.
22 124948.,22124948.
22 57932.,22057932.
2  5359.,020 5359.
21 55071.,21055071.
22 739-43,22000739-43
20 18637-8,20018637-8
13 24394.,13024394.
8  1789-94,080 1789-94
9  24125-6,09 24125-6
6  534-58,0600 534-58
8  3027.,080 3027.
18 4455.,18004455.
16 27172.,16027172.
12 12751.,12012751.
16 33292.,16033292.
21 56375.,21056375.
21 18370.,21018370.
21 18042.002L,21018042.002L
21 18025.,21018025.
21 18348.,21018348.
21 18011.,21018011.
21 22656.,21022656.
21 26006.,21026006.
21 65774.,21065774.
21 65776.,21065776.
21 68080.,21068080.
21 70156.,21070156.
21 69429.,21069429.
21 68035.,21068035.
21 67808.,21067808.
21 70875.,21070875.
21 70896.,21070896.
21 71538.,21071538.
21 67917.007,21067917.007
21 56373.,21056373.
21 56386-7,21056386-7
18 2128.,18002128.
22 71212.,22071212.
20 17986-8,20017986-8
22 121632.,22121632.
16 3808-9,16003808-9
9  5591.,090 5591.
21 26255.,21026255.
21 25159.,21025159.
21 48147.,21048147.
21 63485.,21063485.
19 8645.,19008645.
17 12785.,17012785.
21 60307.,21060307.
21 62976.,21062976.
21 61468.,21061468.
21 62983.,21062983.
17 9401.,17009401.
21 45847.,21045847.
17 10080.,17010080.
17 9246.,17009246.
17 13568.,17013568.
17 10151.,17010151.
15 9760.,15009760.
21 46699.,21046699.
15 13555.,15013555.
21 62987.,21062987.
21 65646.,21065646.
21 60839.,21060839.
22 17474.001,22017474.001
12 10880.,12010880.
22 115925.,22115925.
8  9010.,080 9010.
8  9063.,080 9063.
8  9518.,080 9518.
8  9563.,080 9563.
8  9746.,080 9746.
8  9754.,080 9754.
9  5777.,090 5777.
9  10822.,09 10822.
9  12906.,09 12906.
20 14533.,20014533.
12 10684.,12010684.
12 11257.,12011257.
12 11987.,12011987.
22 58583.,22058583.
12 12376.,12012376.
13 5120.,13005120.
13 11717.,13011717.
22 120909.,22120909.
13 12075.,13012075.
13 12080.,13012080.
13 13756.,13013756.
16 43949.,16043949.
22 63667.,22063667.
15 11387.,15011387.
17 16027.,17016027.
18 14409.,18014409.
17 15363.,17015363.
21 36530-2,21036530-2
21 34692.,21034692.
21 35606.,21035606.
21 35607.,21035607.
21 35614.,21035614.
21 28439-44,21028439-44
22 11666.,22011666.
22 68898.,22068898.
8  2926.,080 2926.
19 10081.,19010081.
18 8745-64,18008745-64
16 13797.,16013797.
17 9294.,17009294.
17 6093.,17006093.
17 10851.,17010851.
13 9925.,13009925.
15 8761.,15008761.
15 10521.,15010521.
15 10529.,15010529.
17 7392.,17007392.
17 8303.,17008303.
17 10776.,17010776.
21 1254.,21001254.
7  48-9,07000 48-9
17 10853.,17010853.
17 11572.,17011572.
17 12483.,17012483.
19 10507.,19010507.
3  1544.,030 1544.
2  2017-8,020 2017-8
22 42256.,22042256.
22 101442.,22101442.
22 3741-2,22003741-2
15 5017-9,15005017-9
22 125380.,22125380.
2  5258.,020 5258.
16 17125.,16017125.
2  3601.,020 3601.
1  3877-83,010 3877-83
21 79073.,21079073.
21 46154.,21046154.
1  2131.,010 2131.
22 49109.,22049109.
22 82561.,22082561.
22 123715.003,22123715.003
9  20408.,09 20408.
12 12814.,12012814.
21 23939.,21023939.
13 6677.,13006677.
21 67594.,21067594.
13 17078.,13017078.
13 16660.,13016660.
21 25994-5,21025994-5
13 69-75,13000069-75
3  200.,0300 200.
22 57811.,22057811.
22 120544.,22120544.
21 34995.,21034995.
22 72690.,22072690.
8  5674.,080 5674.
22 106181.,22106181.
22 72688.,22072688.
1  3994-8,010 3994-8
17 11081.001,17011081.001
21 67987.,21067987.
16 6171.,16006171.
16 8836.,16008836.
7  48-9,07000 48-9
9  11512-3,09 11512-3
8  7486.,080 7486.
5  100-99,0500 100-99
14 36-8,14000036-8
21 1679-80,21001679-80
22 89511.,22089511.
22 35907.,22035907.
4  2719.,040 2719.
4  2097.,040 2097.
16 41525.,16041525.
2  4138.,020 4138.
17 6692.,17006692.
20 14285.,20014285.
22 68912.,22068912.
16 17484.,16017484.
22 19112.,22019112.
22 124389.002L,22124389.002L
21 66456.,21066456.
16 15409-12,16015409-12
21 20891-927,21020891-927
16 25643.,16025643.
20 1655.,20001655.
4  113.,0400 113.
1  4055.006L,010 4055.006L
1  4055.006L,010 4055.006L
1  4055.006L,010 4055.006L
1  4055.006L,010 4055.006L
1  4055.006L,010 4055.006L
1  4055.006L,010 4055.006L
1  4055.006L,010 4055.006L
1  4055.006L,010 4055.006L
1  4055.006L,010 4055.006L
22 94004.,22094004.
22 21492.,22021492.
16 40664-5,16040664-5
22 100986.017,22100986.017
10 1875.,10001875.
18 16748.,18016748.
12 3368.,12003368.
22 48326.,22048326.
22 52320.,22052320.
16 5062-5,16005062-5
22 80849.,22080849.
1  5.002L,010000 5.002L
22 18775-6,22018775-6
22 78700.,22078700.
2  2297-9,020 2297-9
22 15924.,22015924.
18 9141.,18009141.
2  1910-5,020 1910-5
21 25516.,21025516.
22 4774.,22004774.
22 49445.,22049445.
22 60213.,22060213.
22 16780-3,22016780-3
16 234.,16000234.
21 24530.,21024530.
22 6975.,22006975.
14 5424.002L,14005424.002L
22 88039.,22088039.
16 25697.,16025697.
8  1-17,080000 1-17
4  2805.,040 2805.
22 6976.001,22006976.001
18 421-2,18000421-2
2  391.,0200 391.
17 5219.,17005219.
22 18637.003L,22018637.003L
22 30259.002L,22030259.002L
12 5617.,12005617.
22 98367.,22098367.
21 65886.,21065886.
18 14507.,18014507.
16 20637.,16020637.
22 8028-30,22008028-30
22 7454-60,22007454-60
11 312-91,11000312-91
21 64919.,21064919.
21 66917.,21066917.
1  4411-12,010 4411-12
22 18613-7,22018613-7
21 49002.,21049002.
21 64734.,21064734.
21 66410.,21066410.
22 71500.,22071500.
21 66838.,21066838.
21 74801.,21074801.
16 4911.,16004911.
21 20088-94,21020088-94
2  5767.,020 5767.
18 10899.,18010899.
22 13689-91,22013689-91
4  816.,0400 816.
1  4210.,010 4210.
2  1872.,020 1872.
15 9937.,15009937.
22 24127.,22024127.
8  2842.,080 2842.
18 2173.,18002173.
21 13533.,21013533.
8  3020.,080 3020.
22 68852.,22068852.
22 28579.,22028579.
13 6809.,13006809.
13 6809.,13006809.
13 6809.,13006809.
13 6809.,13006809.
21 58452.,21058452.
21 33691.,21033691.
8  5054.,080 5054.
14 5422.,14005422.
3  3095-109,030 3095-109
22 38267.,22038267.
1  3877-83,010 3877-83
22 24260.,22024260.
18 17384.,18017384.
22 112847.,22112847.
12 9756.,12009756.
22 70536.,22070536.
22 107320.,22107320.
22 87829.,22087829.
16 22395.,16022395.
16 32914.,16032914.
13 25149-54,13025149-54
21 56813-22,21056813-22
20 4324.,20004324.
1  7963-8191,010 7963-8191
16 29003.,16029003.
16 35829.,16035829.
15 5034-6,15005034-6
21 22552-3,21022552-3
22 60249.,22060249.
21 28305-7,21028305-7
21 35996.,21035996.
22 68739.,22068739.
3  3095-109,030 3095-109
1 3837-49,01003837-49
16 44721.,16044721.
14 3025.,14003025.
13 6809.,13006809.
22 19199-201,22019199-201
22 31049-50,22031049-50
10 582-5,10000582-5
1  1323.001,010 1323.001
21 66135.,21066135.
2  1529.,020 1529.
16 43146.,16043146.
2  4842.,020 4842.
17 16348.,17016348.
2  3231.,020 3231.
2  3573.,020 3573.
16 9760.,16009760.
18 17227.,18017227.
18 16281-2,18016281-2
17 2307.002L,17002307.002L
21 73148.,21073148.
22 119371.023,22119371.023
22 51412-20,22051412-20
22 92416.,22092416.
22 72611.002,22072611.002
7  1962.,070 1962.
21 33936.001,21033936.001
14 11516.,14011516.
2  890.,0200 890.
2  1796.,020 1796.
8  183-227,0800 183-227
22 54526.,22054526.
21 79073.,21079073.
6  1622.,060 1622.
22 8003-8,22008003-8
12 3048.,12003048.
18 10022.,18010022.
1  4163.,010 4163.
20 3657.,20003657.
7  223-49,0700 223-49
9  11457-8,09 11457-8
1  1.,010000 1.
13 6809.,13006809.
13 6809.,13006809.
13 6809.,13006809.
4  3194.,040 3194.
13 6809.,13006809.
13 6809.,13006809.
22 32344.,22032344.
22 113599.,22113599.
22 7454-60,22007454-60
22 7454-60,22007454-60
22 82401.,22082401.
17 9263.,17009263.
2  1873.,020 1873.
4  454.,0400 454.
11 3253.,11003253.
13 9834.,13009834.
22 72048.,22072048.
18 8151.,18008151.
20 7273.,20007273.
20 18393.,20018393.
16 1593.,16001593.
20 7271.,20007271.
12 8911.,12008911.
20 10946.,20010946.
12 8867.,12008867.
13 6809.,13006809.
13 6809.,13006809.
16 15411.,16015411.
16 15913.,16015913.
22 33416.,22033416.
16 16319.,16016319.
20 12972.,20012972.
22 36504-5,22036504-5
18 936.,18000936.
20 3431.,20003431.
20 6272.,20006272.
14 10840.,14010840.
14 10751.,14010751.
14 10566.001,14010566.001
22 18568-9,22018568-9
14 10565.,14010565.
18 2119.,18002119.
14 1397-8,14001397-8
14 8783.002L,14008783.002L
14 11722.,14011722.
16 10654-7,16010654-7
18 2844.,18002844.
18 2842.,18002842.
18 10413.,18010413.
18 2721.,18002721.
18 610.,18000610.
22 19014-7,22019014-7
18 10930.,18010930.
20 8273.,20008273.
22 16832.,22016832.
18 10955-6,18010955-6
20 7576.,20007576.
18 11024.,18011024.
20 4457.,20004457.
18 11608.,18011608.
18 1126.,18001126.
17 5110-7,17005110-7
18 956.,18000956.
20 7981.,20007981.
20 6846.,20006846.
20 4007.,20004007.
14 7994.,14007994.
20 8540.,20008540.
16 15717.,16015717.
20 8576.,20008576.
18 9088.,18009088.
20 5944.,20005944.
20 13640.,20013640.
20 13270.,20013270.
12 590.,12000590.
20 14779.,20014779.
14 9556.,14009556.
20 14517.,20014517.
16 14525.,16014525.
20 14701.,20014701.
18 2643.,18002643.
16 12525.,16012525.
18 11207.,18011207.
20 8775.,20008775.
18 2255.,18002255.
16 23787.,16023787.
16 24296.,16024296.
22 85512.,22085512.
22 70192.010,22070192.010
18 2525.,18002525.
10 8764.,10008764.
22 36345.,22036345.
20 4980.,20004980.
21 53518.,21053518.
16 29908.,16029908.
8  10748.,08 10748.
22 55671.,22055671.
22 72753.,22072753.
22 83780.,22083780.
22 79322.,22079322.
9  24530-4,09 24530-4
22 52792.,22052792.
22 58196.,22058196.
22 81031.,22081031.
22 87816.,22087816.
22 86814.,22086814.
22 86916.,22086916.
14 5690.,14005690.
16 28333.,16028333.
22 87495-6,22087495-6
21 75587.,21075587.
9  9613.,090 9613.
2  2481.,020 2481.
20 7011.,20007011.
17 15821.,17015821.
21 35980.,21035980.
21 25057.,21025057.
22 16256-9,22016256-9
21 22564.,21022564.
16 35461.,16035461.
21 22573.,21022573.
18 18715.,18018715.
22 44793.,22044793.
22 94725.,22094725.
22 78341.,22078341.
22 103698.,22103698.
16 4855.,16004855.
1  4023.,010 4023.
21 21892.,21021892.
16 21597.,16021597.
21 25021.,21025021.
4  1755.,040 1755.
17 14341.,17014341.
22 27273.,22027273.
21 24736.,21024736.
22 17252-62,22017252-62
21 35814.,21035814.
17 15289.,17015289.
22 15638.,22015638.
21 21623.,21021623.
21 22949.,21022949.
21 35997.,21035997.
2  1888-9,020 1888-9
11 2776.,11002776.
22 58152.,22058152.
1  267.001,0100 267.001
1  4131.,010 4131.
22 2617.,22002617.
2  879.001,0200 879.001
22 79201.,22079201.
22 115750.002L,22115750.002L
22 2617.,22002617.
21 77.005,21000077.005
22 74614-28,22074614-28
21 79073.,21079073.
16 34952.,16034952.
21 1484-8,21001484-8
22 8179-84,22008179-84
22 38657-8,22038657-8
16 7297.,16007297.
21 28314-21,21028314-21
22 125763.,22125763.
21 17738.,21017738.
18 2030.,18002030.
21 2423-6,21002423-6
22 18773-4,22018773-4
2  1810-3,020 1810-3
4  2592.,040 2592.
1  1.,010000 1.
17 5145.,17005145.
9  10934.,09 10934.
20 10670.,20010670.
16 15386.,16015386.
20 6332.,20006332.
16 1821-42,16001821-42
14 10454.,14010454.
14 10494.,14010494.
16 12106.,16012106.
18 11594.,18011594.
20 7013.,20007013.
18 12119.,18012119.
20 9313.,20009313.
18 1592.,18001592.
16 12352.,16012352.
16 9605.,16009605.
19 7268.,19007268.
19 6727.,19006727.
19 6729.,19006729.
19 7267.,19007267.
17 21.,17000021.
14 3039.,14003039.
22 7256-7,22007256-7
16 19654.,16019654.
22 120263.,22120263.
9  17364.,09 17364.
2  5724.,020 5724.
21 36087.,21036087.
2  4911.,020 4911.
15 4830.,15004830.
22 86052.,22086052.
22 70165.,22070165.
13 15259.,13015259.
2  392.,0200 392.
21 56254.,21056254.
22 17013-20,22017013-20
9  10810.,09 10810.
14 9935.,14009935.
16 11926.,16011926.
22 18924.003,22018924.003
22 18751-68,22018751-68
1  2526.001,010 2526.001
3  1544.,030 1544.
22 18716-8,22018716-8
11 4.,11000004.
22 7981.,22007981.
21 47384.,21047384.
16 4919-22,16004919-22
22 30348-9,22030348-9
22 18911-2,22018911-2
3  192.,0300 192.
10 7709.,10007709.
16 4927.,16004927.
22 30536.,22030536.
22 26364.,22026364.
8  3105.,080 3105.
8  898.,0800 898.
16 45582.,16045582.
6  165-78,0600 165-78
16 15518.,16015518.
13 9087.002L,13009087.002L
22 18578.,22018578.
22 74253-7,22074253-7
13 5244.,13005244.
1  1930.,010 1930.
21 45549.,21045549.
19 10035.,19010035.
22 47502.,22047502.
22 79144.001,22079144.001
14 8184.,14008184.
13 24220-1,13024220-1
21 73981.,21073981.
22 21283.,22021283.
21 79054-6,21079054-6
22 37214.,22037214.
10 3884.,10003884.
22 11876.,22011876.
22 71915.,22071915.
22 18607-8,22018607-8
21 57301-2,21057301-2
21 65816.,21065816.
15 4083.,15004083.
22 88807.,22088807.
21 73031.,21073031.
16 45356.,16045356.
22 107847.,22107847.
22 81384.,22081384.
13 24491.006,13024491.006
17 16101.,17016101.
10 8864.,10008864.
22 6954-5,22006954-5
22 96131-2,22096131-2
21 57303.,21057303.
16 32871.,16032871.
2  3167.,020 3167.
16 33295.,16033295.
16 9416-7,16009416-7
21 21066-72,21021066-72
16 4911.,16004911.
17 6206.,17006206.
9  12244.,09 12244.
17 16541-2,17016541-2
22 29723-4,22029723-4
9  10614.,09 10614.
13 6809.,13006809.
18 6258.,18006258.
22 37212.,22037212.
2  1892.,020 1892.
2  4420.,020 4420.
10 2649.,10002649.
21 26494-5,21026494-5
4  1530-41,040 1530-41
22 53519-20,22053519-20
14 1594.,14001594.
22 57241.,22057241.
2  1880.,020 1880.
16 9046.,16009046.
10 50.003L,10000050.003L
22 107438.006,22107438.006
21 28358-9,21028358-9
14 10781.,14010781.
16 1061.,16001061.
2  4902.,020 4902.
14 7381.,14007381.
22 48253.,22048253.
15 8831.,15008831.
22 28461.,22028461.
1  4033.,010 4033.
22 32590.,22032590.
1  7963-8191,010 7963-8191
18 718.,18000718.
1  4235.172,010 4235.172
22 117768.,22117768.
22 8044-5,22008044-5
22 1448-9,22001448-9
18 5489.,18005489.
2  383.,0200 383.
22 30754-61,22030754-61
15 5775.,15005775.
22 122048.,22122048.
13 11225.,13011225.
2  2125-6,020 2125-6
22 2871.,22002871.
21 60756-7,21060756-7
1  1565.,010 1565.
16 40394.,16040394.
18 18708.,18018708.
18 8947.,18008947.
22 21941.,22021941.
12 8851.,12008851.
12 10168-9,12010168-9
12 589.,12000589.
9  16-7,09000 16-7
14 878.,14000878.
14 9010.,14009010.
20 2492.,20002492.
21 68017.,21068017.
22 44278.,22044278.
14 9143.,14009143.
12 10136.,12010136.
18 7190.,18007190.
22 44279.,22044279.
14 838.,14000838.
18 18602.,18018602.
22 92156.,22092156.
16 12083.,16012083.
22 42455.,22042455.
14 9692.,14009692.
19 2570.,19002570.
22 92089.,22092089.
14 11746.,14011746.
22 92991.,22092991.
16 10875.,16010875.
18 15857-8,18015857-8
16 7335.,16007335.
20 14609.,20014609.
16 7340.,16007340.
12 6593.,12006593.
20 14840.,20014840.
14 9686.,14009686.
1  6834.,010 6834.
14 836.,14000836.
16 22570.,16022570.
12 7378-9,12007378-9
16 37038.,16037038.
14 9136.,14009136.
12 7497.,12007497.
16 42779.,16042779.
12 8317-8,12008317-8
22 24234-48,22024234-48
22 38880.002L,22038880.002L
14 10970.,14010970.
14 11027.,14011027.
22 34484.,22034484.
1  1504.,010 1504.
22 43667.,22043667.
22 83029.,22083029.
22 14343.,22014343.
16 23328.,16023328.
22 1212-20,22001212-20
22 86708.,22086708.
16 7437.,16007437.
12 12978.,12012978.
16 11199.,16011199.
12 12008.,12012008.
22 94870.,22094870.
16 41170.,16041170.
16 15515.,16015515.
22 32001.,22032001.
22 8608-9,22008608-9
18 9751.,18009751.
21 20680-3,21020680-3
20 6202.,20006202.
22 92385.,22092385.
21 40452.,21040452.
22 93818.,22093818.
22 92755.,22092755.
16 42271.,16042271.
22 59180.,22059180.
22 93574.,22093574.
1  1217.,010 1217.
20 8518.,20008518.
20 9978.,20009978.
20 13419.,20013419.
22 108754.,22108754.
16 7318.,16007318.
15 7174.,15007174.
17 13093.,17013093.
15 7718.,15007718.
19 1570.,19001570.
19 10092.,19010092.
15 611.,15000611.
20 14640.,20014640.
18 9452.,18009452.
14 1261.,14001261.
20 2085.,20002085.
20 2465.,20002465.
20 2726.,20002726.
21 21123.,21021123.
16 36999.,16036999.
22 124127.,22124127.
16 26448.,16026448.
17 14477.,17014477.
21 34446.,21034446.
22 8351.,22008351.
22 53677.,22053677.
22 112149.,22112149.
22 57501.003,22057501.003
21 73727.,21073727.
22 13280.001,22013280.001
16 17994.,16017994.
16 7015.002L,16007015.002L
16 7015.002L,16007015.002L
22 7685-9,22007685-9
1  4056.004L,010 4056.004L
22 83838.,22083838.
22 53778.,22053778.
22 21986.,22021986.
13 22089.,13022089.
12 3289.,12003289.
17 14123-4,17014123-4
16 35359.,16035359.
22 88291.,22088291.
21 72782.,21072782.
9  4436-67,090 4436-67
4  1531-5,040 1531-5
21 74262.,21074262.
22 8227.,22008227.
22 112194.,22112194.
22 49840-2,22049840-2
16 32914.,16032914.
7  2458.,070 2458.
2  644-5,0200 644-5
13 6809.,13006809.
4  3264.,040 3264.
13 6809.,13006809.
19 24-6,19000024-6
16 20420.,16020420.
4  113.,0400 113.
22 16810.,22016810.
21 30272.,21030272.
18 421-2,18000421-2
21 12229.,21012229.
20 12493.024,20012493.024
20 6072.,20006072.
20 18528.,20018528.
16 16749.,16016749.
20 8527.,20008527.
20 8008.,20008008.
20 14532.,20014532.
20 5387.,20005387.
2  2255.,020 2255.
22 30641.,22030641.
16 28531.,16028531.
4  240.,0400 240.
22 122269.,22122269.
22 7431-5,22007431-5
21 76173.,21076173.
22 97007-8,22097007-8
22 105064.,22105064.
21 9275.,21009275.
20 14511.,20014511.
18 12090.,18012090.
22 124165.001,22124165.001
6  411.,0600 411.
2  1795.,020 1795.
2  1880.,020 1880.
1  2526.002,010 2526.002
2  1880.,020 1880.
22 19030.002,22019030.002
2  816.,0200 816.
22 109850.,22109850.
22 88692.,22088692.
14 4916.,14004916.
16 9424.,16009424.
7  829.,0700 829.
22 17358-68,22017358-68
21 67147.,21067147.
13 6809.,13006809.
13 6809.,13006809.
13 6809.,13006809.
13 6809.,13006809.
13 6809.,13006809.
13 6809.,13006809.
21 31214.,21031214.
13 6809.,13006809.
13 6809.,13006809.
13 6809.,13006809.
13 6809.,13006809.
13 6809.,13006809.
13 6809.,13006809.
13 6809.,13006809.
18 6841-3,18006841-3
1  149.,0100 149.
19 4362.,19004362.
13 8731.,13008731.
17 5147.,17005147.
2  50-1,02000 50-1
1  3985-7,010 3985-7
22 17252-62,22017252-62
21 2828.,21002828.
16 27784.,16027784.
21 58495.003L,21058495.003L
21 60459.,21060459.
21 77943.,21077943.
21 77742.002L,21077742.002L
21 77120.,21077120.
21 64961.,21064961.
21 60348.,21060348.
21 60353.,21060353.
21 60420.,21060420.
21 76187.,21076187.
21 77960.,21077960.
21 15992.,21015992.
22 76293.,22076293.
22 118666.,22118666.
21 63834-44,21063834-44
22 95249.,22095249.
22 89490.,22089490.
22 89488.,22089488.
22 89465.,22089465.
22 91352.,22091352.
22 90047-8,22090047-8
22 90035.,22090035.
22 90735.,22090735.
22 89417.012,22089417.012
22 91346.,22091346.
